Row_ID,Order_ID,Order_Date,Ship_Date,Category,City,Country,Customer_ID,Customer_Name,Delivery_Pace,Delivery_Time,Month_Name,Postal_Code,Product_ID,Product_Name,Region,Sales,Segment,Ship_Mode,State,Sub_Category,Year
1,CA-2017-152156,08-11-2017,11-11-2017,Furniture,Henderson,United States,CG-12520,Claire Gute,Fast,3,November,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,261.96,Consumer,Second Class,Kentucky,Bookcases,2017
2,CA-2017-152156,08-11-2017,11-11-2017,Furniture,Henderson,United States,CG-12520,Claire Gute,Fast,3,November,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,731.94,Consumer,Second Class,Kentucky,Chairs,2017
3,CA-2017-138688,12-06-2017,16-06-2017,Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,Slow,4,June,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,14.62,Corporate,Second Class,California,Labels,2017
4,US-2016-108966,11-10-2016,18-10-2016,Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,Slow,7,October,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,957.5775,Consumer,Standard Class,Florida,Tables,2016
5,US-2016-108966,11-10-2016,18-10-2016,Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,Slow,7,October,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,22.368,Consumer,Standard Class,Florida,Storage,2016
6,CA-2015-115812,09-06-2015,14-06-2015,Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,Slow,5,June,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,48.86,Consumer,Standard Class,California,Furnishings,2015
7,CA-2015-115812,09-06-2015,14-06-2015,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,Slow,5,June,90032,OFF-AR-10002833,Newell 322,West,7.28,Consumer,Standard Class,California,Art,2015
8,CA-2015-115812,09-06-2015,14-06-2015,Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,Slow,5,June,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,907.152,Consumer,Standard Class,California,Phones,2015
9,CA-2015-115812,09-06-2015,14-06-2015,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,Slow,5,June,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,18.504,Consumer,Standard Class,California,Binders,2015
10,CA-2015-115812,09-06-2015,14-06-2015,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,Slow,5,June,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,114.9,Consumer,Standard Class,California,Appliances,2015
11,CA-2015-115812,09-06-2015,14-06-2015,Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,Slow,5,June,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,1706.184,Consumer,Standard Class,California,Tables,2015
12,CA-2015-115812,09-06-2015,14-06-2015,Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,Slow,5,June,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,911.424,Consumer,Standard Class,California,Phones,2015
13,CA-2018-114412,15-04-2018,20-04-2018,Office Supplies,Concord,United States,AA-10480,Andrew Allen,Slow,5,April,28027,OFF-PA-10002365,Xerox 1967,South,15.552,Consumer,Standard Class,North Carolina,Paper,2018
14,CA-2017-161389,05-12-2017,10-12-2017,Office Supplies,Seattle,United States,IM-15070,Irene Maddox,Slow,5,December,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,407.976,Consumer,Standard Class,Washington,Binders,2017
15,US-2016-118983,22-11-2016,26-11-2016,Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,Slow,4,November,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,68.81,Home Office,Standard Class,Texas,Appliances,2016
16,US-2016-118983,22-11-2016,26-11-2016,Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,Slow,4,November,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,2.544,Home Office,Standard Class,Texas,Binders,2016
17,CA-2015-105893,11-11-2015,18-11-2015,Office Supplies,Madison,United States,PK-19075,Pete Kriz,Slow,7,November,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,665.88,Consumer,Standard Class,Wisconsin,Storage,2015
18,CA-2015-167164,13-05-2015,15-05-2015,Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,Fast,2,May,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,55.5,Consumer,Second Class,Utah,Storage,2015
19,CA-2015-143336,27-08-2015,01-09-2015,Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,Slow,5,August,94109,OFF-AR-10003056,Newell 341,West,8.56,Consumer,Second Class,California,Art,2015
20,CA-2015-143336,27-08-2015,01-09-2015,Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,Slow,5,August,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,213.48,Consumer,Second Class,California,Phones,2015
21,CA-2015-143336,27-08-2015,01-09-2015,Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,Slow,5,August,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,22.72,Consumer,Second Class,California,Binders,2015
22,CA-2017-137330,09-12-2017,13-12-2017,Office Supplies,Fremont,United States,KB-16585,Ken Black,Slow,4,December,68025,OFF-AR-10000246,Newell 318,Central,19.46,Corporate,Standard Class,Nebraska,Art,2017
23,CA-2017-137330,09-12-2017,13-12-2017,Office Supplies,Fremont,United States,KB-16585,Ken Black,Slow,4,December,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,60.34,Corporate,Standard Class,Nebraska,Appliances,2017
24,US-2018-156909,16-07-2018,18-07-2018,Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,Fast,2,July,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,71.372,Consumer,Second Class,Pennsylvania,Chairs,2018
25,CA-2016-106320,25-09-2016,30-09-2016,Furniture,Orem,United States,EB-13870,Emily Burns,Slow,5,September,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,1044.63,Consumer,Standard Class,Utah,Tables,2016
26,CA-2017-121755,16-01-2017,20-01-2017,Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,Slow,4,January,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,11.648,Consumer,Second Class,California,Binders,2017
27,CA-2017-121755,16-01-2017,20-01-2017,Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,Slow,4,January,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,90.57,Consumer,Second Class,California,Accessories,2017
28,US-2016-150630,17-09-2016,21-09-2016,Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,Slow,4,September,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,3083.43,Consumer,Standard Class,Pennsylvania,Bookcases,2016
29,US-2016-150630,17-09-2016,21-09-2016,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,Slow,4,September,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,9.618,Consumer,Standard Class,Pennsylvania,Binders,2016
30,US-2016-150630,17-09-2016,21-09-2016,Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,Slow,4,September,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,124.2,Consumer,Standard Class,Pennsylvania,Furnishings,2016
31,US-2016-150630,17-09-2016,21-09-2016,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,Slow,4,September,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,3.264,Consumer,Standard Class,Pennsylvania,Envelopes,2016
32,US-2016-150630,17-09-2016,21-09-2016,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,Slow,4,September,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,86.304,Consumer,Standard Class,Pennsylvania,Art,2016
33,US-2016-150630,17-09-2016,21-09-2016,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,Slow,4,September,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,6.858,Consumer,Standard Class,Pennsylvania,Binders,2016
